episode,global_step,rm_ready,rm_version,num_preferences,preference_sources,final_connected,final_num_components,final_largest_component_size,final_edge_count,final_inter_component_gap,final_coverage_score,final_overlap_ratio,became_connected,first_connected_step,lost_connectivity_events,actor_loss,critic_1_loss,critic_2_loss,mean_rm_reward,rm_loss,rm_pair_accuracy
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,0,0,2,"{""openai"": 2}",0,2,7,12,1309.8042263129778,0.9233004465778784,0.07669955342212169,0,-1,0,,,,,,
2,9000,0,0,2,"{""openai"": 2}",0,3,4,9,412.72519588622754,0.9504373373991815,0.04956266260081859,0,-1,0,,,,,,
3,12000,0,0,4,"{""openai"": 4}",0,3,4,9,76.70732211042423,0.9122732044460921,0.08772679555390792,0,-1,0,,,,,,
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,0,0,1,"{""qwen"": 1}",0,2,7,12,1309.8042263129778,0.9233004465778784,0.07669955342212169,0,-1,0,,,,,,
2,9000,0,0,1,"{""qwen"": 1}",0,3,4,9,412.72519588622754,0.9504373373991815,0.04956266260081859,0,-1,0,,,,,,
3,12000,0,0,2,"{""qwen"": 2}",0,3,4,9,76.70732211042423,0.9122732044460921,0.08772679555390792,0,-1,0,,,,,,
4,15000,0,0,3,"{""qwen"": 3}",0,3,4,9,301.20949119418174,0.9410710200748276,0.05892897992517241,0,-1,0,,,,,,
5,18000,0,0,3,"{""qwen"": 3}",0,3,4,9,314.90411511108414,0.8901773882400942,0.1098226117599058,0,-1,0,,,,,,
6,21000,0,0,4,"{""qwen"": 4}",0,2,7,11,696.2677302179204,0.9231805482172468,0.07681945178275318,0,-1,0,,,,,,
7,24000,0,0,4,"{""qwen"": 4}",0,3,4,9,196.29995596912113,0.904848799641078,0.09515120035892201,0,-1,0,,,,,,
8,27000,0,0,5,"{""qwen"": 5}",0,3,4,9,39.48617503471155,0.9409030171335685,0.05909698286643152,0,-1,0,,,,,,
9,30000,0,0,6,"{""qwen"": 6}",0,3,4,9,644.0542001607323,0.9394869290415409,0.060513070958459196,0,-1,0,,,,,,
10,33000,0,0,6,"{""qwen"": 6}",0,3,4,9,246.04944731039677,0.9099373631745121,0.0900626368254879,0,-1,0,,,,,,
11,36000,0,0,7,"{""qwen"": 7}",0,3,4,9,261.88828556289354,0.9456697930987181,0.05433020690128185,0,-1,0,,,,,,
12,39000,0,0,7,"{""qwen"": 7}",0,2,7,11,992.1869398112085,0.9214766785014473,0.07852332149855264,0,-1,0,,,,,,
13,42000,1,1,8,"{""qwen"": 8}",0,4,3,5,652.2200972093715,0.9506818835571444,0.04931811644285551,0,-1,0,-6.270296096801758,0.012768000364303589,0.013556452468037605,0.0027354098856449127,0.6816141907374064,0.875
14,45000,1,2,9,"{""qwen"": 9}",0,4,3,5,951.17570737704,0.9274881619540678,0.07251183804593223,0,-1,0,-13.18558120727539,0.01383292768150568,0.014154861681163311,-0.005136720836162567,0.6654156788190206,0.875
15,48000,1,2,9,"{""qwen"": 9}",0,4,3,5,947.3450274199708,0.9305111246204146,0.06948887537958541,0,-1,0,-19.90491485595703,0.006518639624118805,0.007445709314197302,0.04019957408308983,0.6654156788190206,0.875
16,51000,1,3,10,"{""qwen"": 10}",0,4,3,5,962.9521894497411,0.9245890455326463,0.07541095446735371,0,-1,0,-25.95840835571289,0.019019968807697296,0.01638476923108101,0.15020227432250977,0.6340275462468465,0.8888888888888888
